ori,ncic_agency_name,agency_name_edit,agency_type_name,state_abbr,data_year,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
AL0010000,JEFFERSON CO SO BIRMINGHAM,JEFFERSON CO SO BIRMINGHAM,County,AL,2022,149098,413,40,453,79,111,190,492,151,643,4.31
AL0010100,BESSEMER PD,BESSEMER PD,City,AL,2022,25265,73,8,81,12,29,41,85,37,122,4.83
AL0010200,BIRMINGHAM PD,BIRMINGHAM PD,City,AL,2022,195050,588,60,648,99,126,225,687,186,873,4.48
AL0010300,MOUNTAIN BROOK PD,MOUNTAIN BROOK PD,City,AL,2022,21910,56,1,57,6,3,9,62,4,66,3.01
AL0010900,VESTAVIA HILLS PD,VESTAVIA HILLS PD,City,AL,2022,38515,95,0,95,6,3,9,101,3,104,2.70
AL0010800,TARRANT PD,TARRANT PD,City,AL,2022,5913,15,3,18,3,4,7,18,7,25,4.23
AL0010700,MIDFIELD PD,MIDFIELD PD,City,AL,2022,5036,7,1,8,1,3,4,8,4,12,2.38
AL0010600,LEEDS PD,LEEDS PD,City,AL,2022,12206,28,0,28,2,1,3,30,1,31,2.54
AL0010500,GARDENDALE PD,GARDENDALE PD,City,AL,2022,16861,29,2,31,2,8,10,31,10,41,2.43
AL0011000,HOMEWOOD PD,HOMEWOOD PD,City,AL,2022,25788,74,10,84,5,17,22,79,27,106,4.11
AL0010400,FAIRFIELD PD,FAIRFIELD PD,City,AL,2022,9691,4,1,5,1,3,4,5,4,9,0.93
AL0011100,FULTONDALE PD,FULTONDALE PD,City,AL,2022,9699,29,3,32,3,5,8,32,8,40,4.12
CO0120000,COSTILLA,COSTILLA,County,CO,2022,3748,7,5,12,1,2,3,8,7,15,4.00
NJ0030000,BURLINGTON CO SHERIFFS OFF MOUNT HOLLY,BURLINGTON CO SHERIFFS OFF MOUNT HOLLY,County,NJ,2022,0,54,2,56,12,14,26,66,16,82,
IL0220800,GLENDALE HEIGHTS PD,GLENDALE HEIGHTS PD,City,IL,2022,32440,44,4,48,8,11,19,52,15,67,2.07
TX1010400,DEER PARK PD,DEER PARK PD,City,TX,2022,33022,47,13,60,13,15,28,60,28,88,2.66
NJ0100500,CLINTON PD,CLINTON PD,City,NJ,2022,2795,11,0,11,1,0,1,12,0,12,4.29
TN0620300,TELLICO PLAINS PD,TELLICO PLAINS PD,City,TN,2022,761,5,0,5,0,0,0,5,0,5,6.57
AL0150300,PENNINGTON PD,PENNINGTON PD,City,AL,2022,329,2,0,2,0,0,0,2,0,2,6.08
NY0042400,FRANKLINVILLE VILLAGE PD FRANKLINVILLE,FRANKLINVILLE VILLAGE PD FRANKLINVILLE,City,NY,2022,1674,3,0,3,0,0,0,3,0,3,1.79
MO0500600,PEVELY,PEVELY,City,MO,2022,5998,13,1,14,1,7,8,14,8,22,3.67
SC0460100,CLOVER PD,CLOVER PD,City,SC,2022,7153,20,1,21,1,4,5,21,5,26,3.63
WI0460500,THIENSVILLE PD,THIENSVILLE PD,City,WI,2022,3302,8,0,8,0,1,1,8,1,9,2.73
