ori,aggravated_assault,arson,burglary,homicide,human_trafficing,larceny,motor_vehicle_theft,property_crime,rape,robbery,violent_crime
MI2921300,26,0,13,0,0,101,8,122,8,1,35
PA0151600,2,0,1,0,0,8,1,10,0,0,2
OK0361800,0,0,0,0,0,1,0,1,0,0,0
TX0310800,6,0,4,0,0,27,3,34,1,1,8
MA0142000,17,1,8,0,0,31,6,45,3,1,21
CA0190200,77,6,390,0,0,1147,116,1653,17,47,141
OR0360200,19,16,37,0,0,331,40,408,12,3,34
AL0520600,1,0,1,0,0,5,1,7,0,0,1
TX2203300,1,0,8,0,0,127,1,136,8,0,9
OH0771200,22,1,34,0,0,434,13,481,12,2,36
WA0230000,67,4,255,2,0,378,149,782,9,12,90
MI3787000,5,0,1,0,0,35,1,37,1,0,6
NY0146100,2,0,4,0,0,31,0,35,1,0,3
FL0410200,193,1,93,3,0,927,0,1020,21,38,255
AZ0072300,8986,257,6266,217,0,33631,7633,47530,1105,3207,13515
NB0840000,0,0,0,0,0,0,0,0,1,0,1
KY0591200,0,1,2,0,0,48,6,56,2,0,2
TX0040000,64,0,27,0,5,121,12,160,6,3,73
CA0480500,65,10,32,1,0,379,65,476,21,16,103
MO0480000,101,4,95,2,1,223,69,387,12,3,118
TX1900600,0,0,1,0,0,6,1,8,0,0,0
MT0140000,3,0,0,0,0,1,0,1,2,0,5
IN0310000,57,0,27,0,0,131,33,191,5,0,62
IA0770000,66,6,79,1,1,479,97,655,9,8,84
CA0040700,5,0,16,0,0,23,0,39,0,0,5
IN0790200,30,1,43,0,1,383,31,457,14,2,46
OH0780600,27,3,69,0,0,401,29,499,9,16,52
MA0111400,7,0,2,0,0,13,1,16,0,0,7
DE0020300,621,0,462,3,0,2557,425,3444,68,71,763
KS0700500,0,0,1,0,0,5,0,6,0,0,0
NJ0072200,53,0,180,1,0,464,89,733,13,18,85
NH0084800,0,0,0,0,0,0,0,0,0,0,0
NH0084200,0,0,2,0,0,2,0,4,0,0,0
TX1500500,0,0,0,0,0,2,0,2,1,0,1
MT0480000,22,1,5,0,0,31,2,38,5,0,27
NMDI05700,20,0,9,0,0,28,19,56,0,0,20
PA0066000,1,0,0,0,0,0,0,0,0,0,1
TX2201900,20,0,22,0,0,292,27,341,7,2,29
IL0640300,15,2,26,0,0,135,17,178,4,1,20
MA0051300,363,5,75,4,0,628,96,799,28,49,444
OH0220200,0,1,1,0,0,13,1,15,0,1,1
OK0511600,7,0,6,0,0,16,1,23,0,0,7
MD0171400,68,1,60,4,0,516,72,648,9,54,135
ND0090300,54,4,92,0,0,373,50,515,16,3,73
VT0041100,1,3,14,0,0,164,6,184,4,0,5
SD0490000,50,3,74,1,0,139,47,260,4,1,56
OH0251100,98,8,117,1,0,964,131,1212,25,47,171
KY0020100,5,1,13,0,0,52,10,75,1,0,6
AR0450000,40,0,40,5,0,81,11,132,10,2,57
OK0400300,0,0,2,1,0,3,1,6,0,0,1
CA0200100,106,7,35,0,0,117,40,192,8,5,119
IL0824500,0,0,1,0,0,0,0,1,0,0,0
NJ0122200,19,0,40,0,0,302,25,367,2,8,29
KY1080000,3,1,13,0,0,27,7,47,0,0,3
IN0710200,54,0,35,0,0,71,34,140,4,9,67
TX0220000,2,0,2,0,0,5,3,10,0,1,3
MDMSP4100,86,0,24,0,1,41,13,78,3,3,92
TX0490000,16,1,37,0,0,80,7,124,10,2,28
NY0502400,11,0,3,0,0,6,4,13,2,0,13
TX2090000,4,0,4,0,0,7,1,12,2,0,6
FL0160700,6,0,0,0,0,54,37,91,0,0,6
KY0371200,0,0,0,0,0,5,0,5,0,0,0
TN0420000,16,0,34,0,0,12,8,54,0,0,16
VT0080000,8,0,10,0,0,59,0,69,3,0,11
OR0150700,6,1,19,0,0,138,7,164,6,4,16
IA0400100,10,0,16,0,1,44,11,71,8,1,19
MN0271500,16,0,23,1,0,66,12,101,5,1,23
OH0181700,107,2,59,5,0,140,104,303,5,25,142
CO0100300,2,2,8,0,0,3,0,11,1,0,3
CA0151500,0,0,2,0,0,7,1,10,1,0,1
OH0150000,14,1,41,1,0,67,12,120,2,0,17
FL0132200,1,0,5,0,0,30,6,41,1,1,3
VA0520200,3,1,5,0,0,38,0,43,0,0,3
MI2138200,29,1,7,0,0,191,6,204,29,1,59
MO0730200,1,0,1,0,0,8,1,10,1,0,2
RI0041200,143,9,128,0,0,518,121,767,24,26,193
CT0017000,2,1,5,0,0,102,19,126,2,0,4
PA0351600,0,0,1,0,0,3,0,4,0,0,0
NH0011800,1,0,1,0,0,19,2,22,1,0,2
OH0300100,5,0,6,0,0,71,1,78,5,0,10
NB0080000,0,0,1,0,0,0,0,1,0,0,0
TN0030200,0,0,1,0,0,1,0,2,0,0,0
OKDI06000,2,0,0,0,0,36,7,43,0,1,3
KS0630300,7,0,8,0,0,24,6,38,1,1,9
PA065SP00,6,0,17,0,0,56,2,75,3,0,9
TX2450200,49,4,57,1,1,144,8,209,5,7,62
SD0050000,6,0,3,0,0,14,1,18,2,0,8
SD0110200,0,0,0,0,0,2,1,3,0,0,0
CT0008000,101,7,118,1,1,1042,255,1415,38,36,176
AR0030500,0,0,0,0,0,1,0,1,0,0,0
NC0310000,54,8,250,9,1,350,91,691,10,6,79
TX1880600,1,0,0,0,0,6,0,6,0,0,1
CO0030800,0,0,2,0,0,2,1,5,2,0,2
RI0040600,13,2,21,0,0,184,28,233,9,7,29
OH0260100,6,0,8,0,0,44,0,52,2,0,8
OK0701100,1,0,5,0,0,0,0,5,0,0,1
TX1261300,5,0,3,0,0,17,4,24,1,0,6
KS0230300,7,0,2,10,0,32,1,35,1,0,18
CO0330000,3,0,1,0,0,5,2,8,4,0,7
NC0360200,12,0,18,2,0,46,12,76,2,1,17
WA0140800,0,0,12,0,0,11,4,27,1,0,1
PA0365100,0,0,0,0,0,1,0,1,0,0,0
OK0760200,1,0,1,0,0,5,0,6,1,0,2
OR029SP00,4,0,2,0,0,31,2,35,0,0,4
NJ0141900,0,0,1,0,0,11,0,12,0,0,0
NC0680000,94,4,99,5,0,311,57,467,8,12,119
ME0160000,15,2,28,0,0,147,19,194,14,0,29
TN0330900,0,0,13,0,0,91,6,110,3,2,5
AR0722000,10,0,14,0,0,44,45,103,7,0,17
ND0010000,3,0,1,0,0,7,2,10,0,0,3
NY0595900,7,0,10,0,0,71,10,91,0,0,7
IL0900900,49,2,88,5,0,586,38,712,45,4,103
NC0580000,8,2,34,0,0,67,19,120,2,0,10
WI0330200,0,0,0,0,0,5,1,6,0,0,0
SC0420700,2,0,9,0,0,44,7,60,1,1,4
VA0080000,39,5,148,1,0,527,64,739,36,3,79
IL0491300,4,1,8,0,0,26,7,41,1,1,6
MO0130300,3,0,2,0,1,7,2,11,0,0,3
NB0240000,0,0,2,0,0,2,0,4,0,0,0
UT0201200,0,0,0,0,0,1,1,2,0,0,0
VT0030000,0,1,0,0,0,0,0,0,0,0,0
WVWSP1700,13,0,7,0,0,14,2,23,5,0,18
NC0920600,33,1,37,0,0,430,36,503,4,4,41
NM0230600,396,10,205,3,1,1383,208,1796,51,41,491
TX1810300,10,1,20,0,0,29,5,54,0,0,10
IL0990500,11,1,9,0,0,59,3,71,2,1,14
CA0302500,26,0,158,0,0,441,74,673,1,9,36
PA0600600,0,0,0,0,0,2,0,2,0,0,0
WI0450500,5,0,0,0,1,6,1,7,2,0,7
CA0331300,1063,171,1563,17,0,7058,1745,10366,138,434,1652
SC010990X,0,0,0,0,0,2,0,2,0,0,0
NY0372300,0,0,2,0,0,41,0,43,0,0,0
ND0470100,25,0,68,0,1,243,17,328,11,0,36
NB0380000,0,0,0,0,0,0,0,0,0,0,0
CO0300900,2,0,2,0,0,4,3,9,0,1,3
LA0190100,5,0,0,0,0,0,0,0,0,0,5
IL0163200,26,10,270,2,0,1452,147,1869,29,78,135
AR0581000,4,0,5,0,0,22,0,27,0,0,4
MN0870100,3,0,0,0,0,5,0,5,1,0,4
NC0800100,5,1,14,1,0,46,11,71,0,0,6
KS0040000,0,2,4,0,0,17,4,25,0,0,0
CA0119960,0,0,0,0,0,2,22,24,0,0,0
NY0532000,2,0,1,0,0,11,0,12,0,0,2
OK0190700,2,0,7,0,0,21,2,30,0,0,2
IL0320300,0,0,0,0,0,1,0,1,0,0,0
MN0430000,16,0,8,0,0,25,8,41,3,0,19
WI0111000,5,0,2,0,0,13,2,17,0,0,5
ND0510500,0,0,0,0,0,0,2,2,0,0,0
VA102SP00,0,0,0,5,0,1,0,1,0,0,5
NY0299700,0,0,5,0,0,6,6,17,1,0,1
OH0400000,16,0,24,1,0,85,14,123,12,0,29
MI2502500,90,2,137,19,0,62,27,226,43,6,158
IN0300300,3,0,0,0,0,6,1,7,0,0,3
VA0670200,4,0,9,0,0,37,6,52,2,0,6
KY0680000,0,0,8,0,0,3,7,18,0,0,0
AL0380400,0,0,0,0,0,1,0,1,0,0,0
IN0480300,5,0,15,0,0,80,17,112,2,1,8
MN0691000,4,0,0,1,0,102,21,123,0,0,5
PA0463600,2,0,2,0,0,36,3,41,1,1,4
NY0490000,11,0,8,1,0,74,4,86,0,0,12
NM0140400,5,1,2,0,0,16,2,20,0,0,5
PA0029A9E,1,0,2,0,0,18,0,20,0,0,1
IA0260000,4,0,3,0,0,4,0,7,0,0,4
KYKSP0100,17,1,17,1,0,57,13,87,22,1,41
PA0233900,28,0,14,0,0,138,22,174,0,6,34
CA0240600,471,133,381,6,1,1722,425,2528,107,154,738
MO0510100,2,0,6,0,0,12,4,22,4,0,6
TX0070300,8,0,15,1,0,19,5,39,0,0,9
KS0680000,3,0,0,0,0,0,0,0,0,0,3
CA0345400,0,0,1,0,0,12,0,13,0,0,0
AL0380500,2,1,4,0,0,15,1,20,0,0,2
NJ0123000,22,0,42,0,0,281,7,330,4,5,31
PA025239E,0,0,1,0,0,15,1,17,3,0,3
TX0840800,75,2,187,2,0,1181,129,1497,36,13,126
DE0032400,14,0,2,0,0,29,3,34,1,0,15
WI0180100,52,8,217,1,0,1250,82,1549,38,5,96
NC0101300,12,0,30,0,0,141,2,173,2,2,16
CT0004900,36,0,33,1,0,453,46,532,2,5,44
OK0660900,0,0,0,0,0,2,0,2,0,0,0
VA1100000,14,0,22,0,0,202,30,254,2,1,17
AZ0071300,989,39,947,20,0,6063,1105,8115,156,200,1365
IA0730100,17,0,7,0,0,45,3,55,3,0,20
KY0310000,0,0,6,0,0,19,6,31,0,0,0
NH0063400,330,17,226,5,1,2381,247,2854,50,87,472
NC0630300,0,1,2,0,0,1,0,3,0,0,0
CA0197200,196,18,466,2,0,2519,724,3709,33,141,372
OR0210100,27,1,58,2,0,164,25,247,3,6,38
AZ0048900,338,33,128,10,0,101,19,248,33,7,388
TN0630500,0,0,0,0,0,1,0,1,0,0,0
NJ0201500,3,0,11,0,0,114,8,133,2,1,6
NY0222000,0,0,1,0,0,2,0,3,0,0,0
TX1700300,6,0,6,0,0,19,6,31,0,1,7
MO0830400,2,0,1,0,0,16,1,18,1,1,4
NJ0026000,19,0,35,0,0,381,28,444,7,13,39
WA0172400,6,5,68,0,1,576,88,732,5,1,12
NC0540100,114,13,164,9,0,399,64,627,7,7,137
CO0300000,305,25,500,2,2,2288,583,3371,81,33,421
CO0620600,11,3,15,0,0,165,41,221,0,0,11
FL0270100,46,1,13,0,0,278,7,298,3,8,57
IN0020200,28,0,43,0,0,124,20,187,2,1,31
PA0045400,0,0,3,0,0,6,1,10,0,0,0
SD0400200,5,0,2,0,0,9,0,11,0,0,5
OH0250400,55,1,54,0,0,679,102,835,20,9,84
IA0200100,20,1,16,0,0,56,7,79,4,1,25
MA0140500,2,0,0,0,0,20,0,20,1,0,3
MD0140100,275,25,383,4,11,3304,427,4114,64,117,460
NY0052100,0,0,0,0,0,9,0,9,0,0,0
TX1081300,71,2,79,0,0,560,52,691,12,14,97
KY0150100,14,0,56,0,0,146,38,240,5,9,28
OH0872700,0,0,4,0,0,92,0,96,1,0,1
VA094049E,0,1,0,0,0,0,0,0,1,0,1
AR0560700,0,0,4,0,0,5,1,10,0,0,0
OH0700400,10,2,15,0,0,106,3,124,3,0,13
IL0830300,4,0,1,0,0,9,0,10,1,1,6
PA0155500,4,0,6,0,0,27,1,34,1,0,5
IL0222400,2,0,3,0,0,10,2,15,0,0,2
UT0250900,4,0,11,0,0,94,11,116,2,1,7
IA0590000,15,0,13,0,0,43,6,62,7,1,23
KY1020200,3,0,1,0,0,5,3,9,0,0,3
OR0360500,1,0,4,0,0,23,3,30,0,0,1
PA040859E,0,0,1,0,0,25,0,26,0,1,1
CO0630000,3,0,5,0,0,26,6,37,1,0,4
OK0120000,20,9,39,2,0,47,21,107,7,0,29
NB0700200,1,0,0,0,0,0,0,0,0,0,1
PA0234500,1,0,1,0,0,6,0,7,0,0,1
KY0840100,6,0,23,0,0,54,13,90,3,0,9
LA0570000,76,1,157,0,0,155,37,349,9,1,86
IA0850500,2,0,7,0,0,25,4,36,2,0,4
NJ0101700,0,0,0,0,0,20,0,20,0,0,0
IAIHP0100,1,0,0,0,0,5,3,8,0,0,1
IA0400000,10,1,12,0,0,11,2,25,0,1,11
CO0230000,42,1,31,4,0,110,17,158,24,0,70
NB0530100,0,0,3,0,0,8,5,16,0,0,0
ID0090300,0,0,0,0,0,20,3,23,0,0,0
NJ0151100,12,1,26,1,0,217,20,263,8,0,21
VA008SP00,15,1,0,0,0,8,1,9,0,1,16
OK0550800,25,3,63,1,0,322,28,413,3,8,37
CA0540000,218,0,493,16,0,1307,105,1905,30,73,337
WI0590100,7,0,9,0,0,126,12,147,3,3,13
TN0840300,1,0,4,0,0,9,0,13,1,0,2
IL0602300,1,0,7,0,1,153,6,166,9,0,10
TX1930000,1,1,19,0,0,31,5,55,3,0,4
NY0042300,1,0,1,0,0,16,3,20,0,0,1
WA0250100,1,0,12,1,0,25,7,44,1,1,4
IL0530200,11,1,12,0,0,79,3,94,19,1,31
NY0502000,1,0,1,0,0,7,2,10,0,0,1
TX1720100,9,0,7,1,0,30,4,41,0,1,11
TN0100100,41,1,26,1,0,229,14,269,0,0,42
TX1610100,46,1,92,1,0,478,24,594,8,11,66
TX2480200,2,0,3,0,0,4,0,7,1,0,3
AL0590700,16,0,16,2,0,93,14,123,3,0,21
NY0210000,0,0,0,0,0,19,0,19,0,0,0
OK0550400,163,3,186,0,0,1212,142,1540,23,9,195
OK056013C,3,0,0,0,0,0,0,0,0,0,3
GA0510100,1,0,2,1,0,3,2,7,1,1,4
CA0371200,137,5,185,0,0,644,178,1007,7,62,206
TX0960100,1,0,3,0,0,2,1,6,0,0,1
IA0030000,6,0,7,0,0,20,1,28,4,0,10
OH0700200,0,0,0,0,0,8,0,8,0,0,0
CA033400X,20,1,53,0,0,205,43,301,0,6,26
TX1015400,0,0,11,0,0,63,5,79,0,0,0
TX1120000,23,0,13,0,0,12,15,40,3,0,26
MS0470100,16,0,2,2,0,13,6,21,3,2,23
TN019410X,5,0,0,3,0,0,0,0,0,0,8
OK0460000,19,4,53,1,0,77,26,156,3,0,23
MO0957000,7,1,12,0,0,148,36,196,1,3,11
MI6769400,19,0,13,0,0,18,0,31,5,0,24
CT0015900,7,0,43,1,0,307,55,405,3,15,26
OK0612100,0,0,6,0,0,10,1,17,0,0,0
IL0140400,1,0,0,0,0,12,0,12,2,0,3
CA0510200,269,9,187,2,5,1135,243,1565,46,63,380
AZ0140000,139,19,225,6,0,475,134,834,26,6,177
PA0011200,0,0,1,0,0,1,0,2,0,0,0
OH0091300,3,0,2,0,0,3,0,5,0,0,3
TN0840200,7,1,13,0,0,51,9,73,3,0,10
NC0150000,1,1,11,0,0,18,5,34,0,0,1
NC0440000,45,3,153,0,1,312,71,536,20,1,66
WV0020000,64,3,53,2,6,263,10,326,28,4,98
KS0440500,0,0,0,0,0,1,0,1,0,0,0
GA1470300,31,0,14,0,0,55,2,71,0,0,31
WI0010100,3,1,6,0,0,52,2,60,3,0,6
GA0520000,4,0,11,0,0,30,2,43,0,0,4
CA0371400,9,3,63,0,0,283,12,358,12,6,27
IL0990000,152,3,108,4,0,364,96,568,41,11,208
MI8221200,57,0,25,0,0,340,76,441,9,7,73
VA0710000,43,3,79,4,0,278,15,372,10,2,59
AR0380000,21,2,35,0,0,66,11,112,5,0,26
GA0560100,17,0,23,0,1,422,20,465,7,8,32
VA0970000,4,0,8,1,0,109,31,148,11,0,16
NH0064800,1,0,0,0,0,11,1,12,3,0,4
CA0160100,92,2,43,3,0,185,61,289,8,7,110
NC0290200,46,6,97,0,0,326,70,493,3,9,58
NY355SF00,47,0,32,2,0,219,13,264,22,0,71
MI0367000,4,1,7,0,0,47,9,63,4,0,8
TX0190400,31,2,15,0,0,107,10,132,0,5,36
IL0167B00,0,1,6,0,0,39,4,49,0,0,0
MO0160200,15,0,14,0,0,123,13,150,3,0,18
KYKSP0300,15,1,20,6,0,42,16,78,16,0,37
NB0040000,1,0,0,0,0,3,0,3,0,0,1
TX2480100,4,0,7,0,0,14,6,27,0,0,4
MA0053000,39,0,32,0,0,284,22,338,7,6,52
TX0730800,0,0,0,0,0,0,0,0,1,0,1
NY255UN00,1,0,0,0,0,24,0,24,1,0,2
WA0380100,0,0,0,0,0,0,1,1,0,0,0
IA0771800,3,0,2,0,0,13,2,17,1,0,4
WV0300100,0,1,0,0,0,2,1,3,0,0,0
PA0095100,0,0,0,0,0,5,0,5,0,0,0
ND0040000,0,0,0,0,0,1,0,1,0,0,0
CA0500300,17,1,14,0,0,64,23,101,6,3,26
MI5290500,0,0,1,0,0,0,0,1,0,0,0
NJ0181500,0,0,15,0,0,21,1,37,0,0,0
NJ0143000,1,0,5,0,0,41,4,50,0,0,1
VA0940200,0,0,8,0,0,41,2,51,0,0,0
UTUHP0000,98,0,2,3,0,53,16,71,10,2,113
MA0032000,15,1,9,0,0,61,8,78,4,0,19
IL0570400,0,0,1,0,0,5,0,6,0,0,0
CA0334200,241,10,241,1,0,961,226,1428,28,44,314
MI7340600,12,0,9,0,0,47,2,58,5,0,17
AL0390400,1,0,3,0,0,28,0,31,0,1,2
MO0360700,44,3,38,0,0,372,56,466,15,1,60
GA0550000,30,0,64,2,0,134,18,216,8,2,42
AR0040300,71,2,83,0,0,283,38,404,26,5,102
MD0090000,326,7,164,11,0,1348,193,1705,47,102,486
TX0500000,16,2,24,0,0,54,7,85,1,0,17
IA0840000,0,0,16,0,0,26,6,48,9,0,9
NC0070300,3,0,3,0,0,14,2,19,3,0,6
PA0545700,0,0,0,0,0,2,0,2,0,0,0
SC042169E,2,0,4,0,0,5,0,9,2,0,4
IA0440000,22,1,7,0,0,29,7,43,3,0,25
AL0180200,2,0,1,0,0,5,0,6,0,0,2
NH0011400,8,4,17,0,0,435,18,470,15,2,25
NY0290200,22,0,11,0,0,32,7,50,1,8,31
NJ0072000,3,0,7,0,0,122,8,137,0,0,3
MO0950700,201,4,143,6,0,229,254,626,2,18,227
MI8245800,72,5,52,6,0,354,310,716,6,12,96
AL0380000,101,10,150,2,1,299,79,528,19,6,128
MS0120100,3,0,3,0,0,25,2,30,0,0,3
TN0340000,19,1,21,0,0,60,2,83,2,1,22
WI0130200,15,0,13,0,0,185,23,221,3,1,19
OH0640200,12,0,13,0,0,51,3,67,2,0,14
LA0570400,6,0,3,0,0,8,0,11,0,0,6
CA0192000,266,21,282,10,0,1616,997,2895,33,194,503
AZ0111300,108,4,107,4,0,572,107,786,16,7,135
VT0141100,0,0,2,0,0,19,0,21,1,0,1
CA0344800,1,0,2,0,0,6,0,8,0,0,1
KY0560400,26,1,76,5,0,271,131,478,9,35,75
NY0190000,15,0,3,0,0,23,4,30,1,1,17
OH0790200,8,0,11,0,0,40,6,57,8,1,17
PA0650500,35,1,8,0,0,55,1,64,3,1,39
AZ0140500,441,13,450,19,0,990,217,1657,41,50,551
KSKHP1100,2,0,0,0,0,0,0,0,0,0,2
MN0550000,12,2,55,1,0,155,30,240,14,3,30
TX2470100,12,1,38,0,0,73,23,134,3,1,16
OK0240100,146,7,360,0,0,980,84,1424,45,13,204
FL0370000,280,3,238,4,0,883,99,1220,46,18,348
NBNSP7700,3,0,0,0,0,0,0,0,0,0,3
NJ0023000,3,0,13,1,0,108,8,129,2,6,12
MN0260000,3,0,0,0,0,1,0,1,0,0,3
AL0051000,3,0,10,1,0,46,25,81,2,0,6
PA043259E,0,0,0,0,0,3,0,3,1,0,1
NC0910000,79,7,138,3,0,267,60,465,11,12,105
OR034SP00,9,0,0,0,0,2,4,6,0,0,9
AL0640200,2,0,7,0,0,26,3,36,1,0,3
VA1160000,855,30,337,31,0,3434,462,4233,58,177,1121
MI0868500,0,0,0,0,0,3,0,3,0,0,0
MS0060100,97,2,77,3,0,387,41,505,2,9,111
CO0450000,4,0,10,2,0,23,20,53,0,0,6
AL0460700,0,0,0,0,0,2,0,2,1,0,1
KSKHP0600,5,0,0,0,0,0,0,0,0,0,5
MA0100100,32,0,35,0,0,197,21,253,8,0,40
PA0590900,0,0,0,0,0,4,0,4,0,0,0
RI0050900,0,0,1,0,0,9,0,10,0,1,1
CA0361400,4,4,3,0,0,67,9,79,1,2,7
OR0260300,9,3,2,1,0,684,182,868,1,4,15
AL0490500,5,0,5,0,0,5,1,11,0,0,5
OK0550500,0,0,11,0,0,47,10,68,0,0,0
WY0130200,6,0,3,0,0,61,8,72,1,0,7
NJ0031300,24,3,34,1,0,454,27,515,6,2,33
MA0111300,9,0,3,0,0,26,0,29,0,0,9
OH0700100,152,15,287,6,0,1131,111,1529,43,28,229
OH0186300,17,1,2,0,0,113,8,123,0,3,20
AR0320100,25,0,50,0,0,141,13,204,20,0,45
NY232UN00,0,0,0,0,0,9,0,9,0,0,0
CO0621900,0,0,0,0,0,4,2,6,0,0,0
GA060369E,0,0,1,0,0,3,0,4,0,0,0
IN0270300,1,0,0,0,0,17,1,18,2,0,3
AL0210200,0,0,3,0,0,3,0,6,0,0,0
OH0830300,22,2,13,0,0,267,23,303,10,0,32
KY0590400,3,0,1,0,0,25,7,33,1,3,7
TX1630000,43,2,51,2,0,139,95,285,8,4,57
TX1790000,1,0,5,0,0,14,3,22,4,0,5
WI0610000,6,0,35,0,0,59,2,96,3,1,10
AL0250200,9,0,9,0,0,48,9,66,1,0,10
NM0300300,4,0,19,0,0,47,21,87,0,2,6
KS0340000,2,0,3,0,0,2,4,9,0,0,2
PA0380600,0,0,1,0,0,6,0,7,0,0,0
IN0430000,73,3,52,0,0,240,68,360,9,2,84
IL0848900,0,0,0,0,0,2,6,8,0,0,0
WI0440100,1,0,4,0,0,35,0,39,2,0,3
IL0167000,17,0,19,0,0,198,45,262,4,7,28
AK0015600,39,1,11,0,0,270,19,300,5,9,53
IL0210500,7,2,3,0,0,17,1,21,0,0,7
MI8186600,0,0,0,0,0,1,0,1,0,0,0
NJ0120500,128,4,192,0,0,1476,159,1827,8,41,177
FL0570100,9,0,42,0,0,113,31,186,2,2,13
FL0570200,2,0,2,0,0,12,0,14,0,0,2
VA089SP00,4,0,0,0,0,5,0,5,0,0,4
KY0150600,1,0,6,0,0,13,2,21,0,0,1
CA0194800,77,3,245,0,0,709,273,1227,7,70,154
MA0110100,9,0,12,0,0,58,4,74,1,1,11
